barcode,last6,product_name,brand,status,msl,max_qty,stc_planogram_location,brossard_planogram_location,st_laurent_planogram_location
4902508083805,083805,PIGEON BODY LOTION (PEACH LEAF),PIGEON,Noncarry,,,,,
4524734126264,126264,Dr Ci Labo Super 377 VC facial cream 18g,,Sense,,,,,
4901301236173,236173,KAO CUREL EMULSION 120ML,KAO,Active,,,,,
4901301269348,269348,KAO CUREL FOAMING FACE WASH 150ML,KAO,Active,,,,,
4901301236210,236210,KAO CUREL INTENSIVE MOISTURE CREAM 40G,KAO,Active,,,,,
4901301236043,236043,KAO CUREL MOISTURE LOTION I LIGHT 150ML,KAO,Active,,,,,
4901301236197,236197,KAO CUREL MOISTURE LOTION II MOIST 150ML,KAO,Active,,,,,
4901301236180,236180,KAO CUREL MOISTURE LOTION III ENRICH 150ML,KAO,Active,,,,,
4901301281357,281357,KAO CUREL MOISTURE BATH MILK BODY,KAO,Noncarry,,,,,
4901301210722,210722,KAO CUREL BODY LOTION,KAO,Active,,,,,
4973167076576,076576,KATE PIN SPOT LINER PK-1,KAO,Sense,,,,,
4520060250000,250000,BB LABORATORIES MOIST CREAMMASK PRO.,BB LABORATORIES,,,,,,
4524989000920,000920,GHASSOUL NAIAD MOROCCAN CLAY MASK,GHASSOUL,,,,,,
4543802600901,600901,Plift Vp Lip,,,,,,,
4547691734242,734242,OKAMOTO RILAKKUMA HONEY CONDOMS,OKAMOTO,,,,,,
4547691749192,749192,OKAMOTO ZERO ONE 0.01 3PCS,OKAMOTO,Sense,,,,,
4571205850623,850623,TAKAMI SKINPEEL 03,TAKAMI,,,,,,
4571414679602,679602,NEEDS FOLDING REVERSIBLE UV HAT(BLACK&CREAM COLOURED),NEEDS,,,,,,
4573259170993,170993,COCOCHI AG ULTIMATE MASK GOLD 5PCS,COCOCHI,Active,,,,,
4580504130039,130039,COCOCHI AG ULTIMATE MASK BLUE 5PCS,COCOCHI,Active,,,,,
4580504130084,130084,COCOCHI AG ULTIMATE MASK SAKURA 5PCS,COCOCHI,,,,,,
4580504130251,130251,COCOCHI AG ULTIMATE SLEEPING PACK,COCOCHI,,,,,,
4901008301686,301686,CANMAKE LASH CARE ESSENCE,CANMAKE,Noncarry,,,,,
4901008304533,304533,CANMAKE MARSHMALLOW FINISH POWDER #MO,CANMAKE,Sense,,,,,
4901008305318,305318,CANMAKE MARSHMALLOW FINISH POWDER #MB,CANMAKE,,,,,,
4901008305608,305608,CANMAKE STAY-ON BALM ROUGE #03,CANMAKE,,,,,,
4901008305905,305905,CANMAKE EYE SHADOW #05,CANMAKE,,,,,,
4901008307770,307770,CANMAKE STAY-ON BALM ROUGE #10,CANMAKE,,,,,,
4901008307893,307893,CANMAKE COLOR MIXING CONCEALER #01,CANMAKE,,,,,,
4901008307909,307909,CANMAKE COLOR MIXING CONCEALER #02,CANMAKE,,,,,,
4901008308661,308661,CANMAKE MARSHMALLOW FINISH POWDER #ML,CANMAKE,,,,,,
4901008309996,309996,CANMAKE STAY-ON BALM ROUGE #T01,CANMAKE,,,,,,
4901008310459,310459,CANMAKE EYE SHADOW #18,CANMAKE,,,,,,
4901008311067,311067,CANMAKE BLUSH POWDER MAT #05,CANMAKE,,,,,,
4901008311333,311333,CANMAKE PERFECT MULTI EYES EYESHADOW #05,CANMAKE,,,,,,
4901008311807,311807,CANMAKE STAY-ON BALM ROUGE #16,CANMAKE,,,,,,
4901008311845,311845,CANMAKE EYE SHADOW #19,CANMAKE,,,,,,
4901008312033,312033,CANMAKE EYE SHADOW #21,CANMAKE,,,,,,
4901008312651,312651,CANMAKE BLUSH POWDER GLOW #11,CANMAKE,,,,,,
4901301271051,271051,KAO SOFINA PRIMAVISTA MOISTURE FOUNDATION,KAO,,,,,,
4901301325310,325310,KAO SOFINA BEAUTE MOISTURIZING LOTION (FRESH) 30G,KAO,,,,,,
4901301325341,325341,KAO SOFINA BEAUTE MOISTURIZING LOTION W (FRESH) 30G,KAO,,,,,,
4901301348098,348098,KAO MEGRHYTHM HEALTH CARE STEAM WARM EYE MASK ROSE,KAO,Active,,,,,
4901301349583,349583,KAO CUREL MOISTURE BALM,KAO,Active,,,,,
4901301351401,351401,KAO SOFINA PRIMAVISTA MAKEUP BASE PRIMER 20G,KAO,,,,,,
4901872166299,166299,SHISEIDO REVITAL WRINKLELIFT RETINO SCIENCE AA EYE MASK 24 SHEETS,SHISEIDO,,,,,,
4901872220106,220106,SHISEIDO REVITAL NECK ZONE ESSENCE,SHISEIDO,,,,,,
4901872353613,353613,SHISHEDO EYEBROW PENCIL 1 BLACK,SHISEIDO,,,,,,
4901872353620,353620,SHESHEDO EYEBROW PENCIL 2 DARK BROWN,SHISEIDO,,,,,,
4901872353644,353644,SHESHEDO EYEBROW PENCIL 4 GRAY,SHISEIDO,,,,,,
4901872375974,375974,SHISEIDO AQUA LABEL MILKY MOUSSE FOAM 130G,SHISEIDO,,,,,,
4901872449651,449651,SHISEIDO UNO WHIP SPEEDY FACIAL WASH 150ML,SHISEIDO,Active,,,,,
4901872449705,449705,SHISEIDO UNO CREAM PERFECTION 90G,SHISEIDO,Active,,,,,
4901872449729,449729,SHISEIDO UNO SKINCARE TANK OIL CONTROL 160ML,SHISEIDO,Active,,,,,
4901872459988,459988,SHISEIDO UNO SKIN SEUM WATER 200ML,SHISEIDO,Active,,,,,
4901872521807,521807,SHISEIDO REVITAL WRINKLE LIFT EYE CREAM 15G,SHISEIDO,,,,,,
4909978997038,997038,SHISEIDO AQUA LABEL SPECIAL GEL CREAM A MOIST 90G,SHISEIDO,,,,,,
4901872958238,958238,SHISEIDO AQUA LABEL SPECIAL GEL CREAM A OIL IN 90G,SHISEIDO,,,,,,
4901872972432,972432,SHISEIDO AQUA LABEL BALANCE CARE LOTION M 200ML,SHISEIDO,,,,,,
4901872972708,972708,SHISEIDO AQUA LABEL BALANCE CARE LOTION RM 200ML,SHISEIDO,,,,,,
4901872972739,972739,SHISEIDO AQUA LABEL BALANCE CARE MILK 130ML,SHISEIDO,,,,,,
4901872972760,972760,SHISEIDO AQUA LABEL WHITE CARE LOTION M 200ML,SHISEIDO,,,,,,
4901872972777,972777,SHISEIDO AQUA LABEL WHITE CARE LOTION RM 200ML,SHISEIDO,,,,,,
4901872972814,972814,SHISEIDO AQUA LABEL WHITE CARE MILK 130ML,SHISEIDO,,,,,,
4901872972838,972838,SHISEIDO AQUA LABEL WHITE CARE CREAM 50G,SHISEIDO,,,,,,
4901872972845,972845,SHISEIDO AQUA LABEL BOUNCING CARE LOTION M 200ML,SHISEIDO,,,,,,
4901872972852,972852,SHISEIDO AQUA LABEL BOUNCING CARE LOTION RM 200ML,SHISEIDO,,,,,,
4901872972883,972883,SHISEIDO AQUA LABEL BOUNCING CARE MILK,SHISEIDO,,,,,,
4903301025726,025726,Etvos Mineral Bronze Glow 4g,,,,,,,
4903301034506,034506,Etvos N2 Mineral Lip Plan Plan (apple Red),,,,,,,
4908049490706,490706,FANCL MILD CLEANSING OIL SET 2020 LIMITED EDITION,FANCL,,,,,,
4908049502768,502768,FANCL MILD CLEANSING OIL SAKURA,FANCL,,,,,,
4909978985691,985691,SHISEIDO AQUA LABEL SPECIAL GEL CREAM MOIST SAKURA 2020,SHISEIDO,,,,,,
4931449414102,414102,IPSA ESSENCE STICK,IPSA,,,,,,
4931449432526,432526,IPSA THE TIME RESET AQUA TONER,IPSA,Noncarry,,,,,
4953923303900,303900,POLA B.A FACE WASH,POLA,,,,,,
4953923308066,308066,POLA B.A ANTI-AGING TONER 120ML,POLA,Noncarry,,,,,
4953923308073,308073,POLA B.A MILK LOTION 80ML,POLA,Noncarry,,,,,
4953923304020,304020,POLA B.A REVUP SERUM 40ML,POLA,,,,,,
4953923305096,305096,POLA WHITE SHOT SXS 20G,POLA,,,,,,
4953923309216/4953923307465/4953923307878/4953923307908,307908,POLA WRINKLE SHOT SET 2020,POLA,,,,,,
4953923307526/4953923308899/4953923338261,338261,POLA B.A LIGHT SELECTOR,POLA,Noncarry,,,,,
4953923310656,310656,POLA BA EYE ZONE CREAM,POLA,,,,,,
4973167154168,154168,KRACIE FREEPLUS MILD MOISTURE SOAP 200ML,KRACIE,,,,,,
4973167158418,158418,KRACIE FREEPLUS MILD CREAM CLEANSER A 125G,KRACIE,Noncarry,,,,,
4973167158425,158425,KRACIE FREEPLUS MILD SOAP A 100G,KRACIE,Active,,,,,
4973167208366,208366,KATE DESIGNING EYEBROW 3D EX-4,KRACIE,Active,,,,,
4973167208397,208397,KATE DESIGNING EYEBROW 3D EX-5,KRACIE,Active,,,,,
4973167258293,258293,KRACIE FREEPLUS MOIST CARE EMULSION II (MOIST) 100ML,KRACIE,Active,,,,,
4973167358559,358559,KRACIE FREEPLUS MOIST CARE LOTION II (MOIST) 130ML,KRACIE,Active,,,,,
4973167380482,380482,KRACIE FREEPLUS MOIST CARE CREAM,KRACIE,,,,,,
4973167911921,911921,KANEBO Allie UV Suncream Set Green,,,,,,,
4979006090949,090949,SKII FACIAL TREATMENT MASK 6 SHEETS,SKII,Active,,,,,
4979006065237,065237,DISCONTINUED SKII FACIAL TREATMENT CLEANSER,SKII,Active,,,,,
4979006083316,083316,SKII R.N.A. POWER EYE CREAM,SKII,Active,,,,,
4979006083224,083224,作废 SKII RNA POWER RADICAL NEW AGE CREAM 80G,SKII,,,,,,
4979006085747,085747,DISCONTINUED SKII GENOPTICS ULTRAURA ESSENCE 50ML,SKII,Active,,,,,
4979006083354,083354,SKII RNA POWER YOUTH ESSENCE 50ML,SKII,Active,,,,,
4987107624796,624796,DAIICHI SANKYO TRANSINO WHITENING FACIAL MASK 4 SHEETS,DAIICHI SANKYO,,,,,,
4987415688503,688503,SHISEIDO B6 LIP CARE,SHISEIDO,,,,,,
6927999300918,300918,FUQING ANTIBACTERIAL FUNCTION DRESSING MASK,FUQING,,,,,,
6941959099971,099971,VOOLGA HYALURONATE MASK,VOOLGA,,,,,,
4560487688574,688574,LILMOON ONEDAY CREAM BEIGE,LILMOON,,,,,,
4560487688895,688895,LILMOON ONEDAY CREAM GREGE,LILMOON,Noncarry,,,,,
4560487689212,689212,LILMOON ONEDAY CHOCOLATE,LILMOON,Noncarry,,,,,
4560487693288,693288,LILMOON ONEDAY WATER WATER,LILMOON,Noncarry,,,,,
4979006070064,070064,SKII FACIAL TREATMENT ESSENCE 230ML,SKII,Active,,,,,
4560364938907,938907,MICHE BLOOMIN FALSE EYELASHES NO. 03PURE SWEET,MICHE BLOOMIN,,,,,,
4560364938938,938938,MICHE BLOOMIN FALSE EYELASHES NO. 06GIRLY FLARE,MICHE BLOOMIN,,,,,,
4560364938891,938891,MICHE BLOOMIN FALSE EYELASHES NO. 02PURE NUDE,MICHE BLOOMIN,,,,,,
4979006090895,090895,SKII FACIAL TREATMENT CLEAR LOTION,SKII,Active,,,,,
4931449433080,433080,IPSA CREATIVE CONCEALER EX,IPSA,Noncarry,,,,,
4909978972387,972387,(作废) SHISEIDO ANESSA PERFECT UV SKIN CARE MILK A SUNSCREEN,SHISEIDO,,,,,,
4931449432519,432519,IPSA LUMINIZING CLAY,IPSA,,,,,,
4931449433134,433134,IPSA MAKEUP FINISHING MIST,IPSA,,,,,,
493144943180,943180,IPSA SILK COTTON,IPSA,,,,,,
4931449428628,428628,IPSA ME REGULAR #2,IPSA,,,,,,
4931449428635,428635,IPSA ME REGULAR #3,IPSA,,,,,,
4971710358070,358070,KOSE DECORTE HERBAL VITALIZING LOTION 150ML,KOSE,,,,,,
4971710359114,359114,KOSE DECORTE PRIME LATTE EMULSION 150ML,KOSE,,,,,,
4971710367140,367140,KOSE DECORTÉ MOISTURE LIPOSOME HYDRATION BOOSTING SERUM,KOSE,,,,,,
495392330505,330505,POLA BRIGHT SHOT SERUM,POLA,,,,,,
4948731020811,020811,LOURDES ATEX HOT EYE MASK,ATEX,,,,,,
4562256995289,995289,Etvos N2 Mineral Lip Plan Plan (honey Peach),,,,,,,
4580346570505,570505,LALASLIM REPERFE,LALASLIM,,,,,,
420000000,000000,Hair Care,,,,,,,
4562256995296,995296,Etvos Mineral Lip Plumper 6.7g,,,,,,,
4953923307496,307496,POLA WRINKLE SHOT GEO SERUM 40G,POLA,,,,,,
2000124082317,082317,LUPICIA TEA BAG PEACH OOLONG,LUPICIA,,,,,,
2000131082317,082317,LUPICIA TEA BAG PEACH OOLONG BOX,LUPICIA,,,,,,
